category,name,description,base_price,image_filename,modifiers
The Mob,VIRGIN MARY,"Vegetarian: Fried Zucchini, Caramelized Peppers And Onions, Goat Cheese, Arugula, Balsamic Glaze, Pistachio Pesto, Baba Ganoush, Lemon Whipped Ricotta",16.8,virginmary.jpg,
Al's Wraps,Beethoven Wrap,"Buffalo Crispy Chicken, Tomato, Bacon, Shaved Cheddar, Iceberg Lettuce, Ranch, Hot Sauce",20.4,beethoven.jpg,
Al's Wraps,The Blanco Wrap,Classic Chicken Caesar Wrap,19.2,blanco.jpg,
Al's Wraps,Uncle Sal Wrap,"Grilled Chicken, Pistachio Pesto, Balsamic Glaze, Goat Cheese, Arugula, Bacon, Roasted Peppers And Spicy Spread",20.4,unclesal.jpg,
Sides,Al's Tiramisu,Authentic Tiramisu,10,tiramisu.jpg,
Sides,Al's Toasted Coconut Cheesecake,Toasted Coconut Cheesecake,10,,
Sides,Caesar Salad,Classic Caesar Salad With Loads Of Parmesan Reggiano And Bacon,17.2,caesarsalad.jpg,
Sides,Fries,French Fries,7.2,fries.jpg,
Sides,Fries N Gravy,French Fries And Gravy,11,,
Sides,Greek Fries,"Tomato, Onion, Cucumber, Tzatziki, Burnt Lemon, Feta, Oregano",17,greekfries.jpg,"[{""name"":""Toppings"",""is_required"":false,""min_selections"":0,""max_selections"":11,""options"":[{""name"":""No Tomato"",""price_adjustment"":0},{""name"":""No Onion"",""price_adjustment"":0},{""name"":""No Cucumber"",""price_adjustment"":0},{""name"":""No Tzatziki"",""price_adjustment"":0},{""name"":""No Feta"",""price_adjustment"":0},{""name"":""No Burnt Lemon"",""price_adjustment"":0},{""name"":""Extra Feta"",""price_adjustment"":3.0},{""name"":""Extra Tzatziki"",""price_adjustment"":2.0},{""name"":""Add Grilled Chicken"",""price_adjustment"":6.0},{""name"":""Add Crispy Chicken"",""price_adjustment"":6.0},{""name"":""Add Gyro Meat"",""price_adjustment"":6.0}]}]"
Sides,Greek Salad,Classic Greek Salad,16,greeksalad.jpg,
Sides,Philly Fries,"Rib Eye Steak, Cheese Sauce Or Provolone, Sauteed Onion",17.8,phillyfries.jpg,"[{""name"":""Toppings"",""is_required"":false,""min_selections"":0,""max_selections"":4,""options"":[{""name"":""Add Grilled Chicken"",""price_adjustment"":6.0},{""name"":""Cheese Sauce"",""price_adjustment"":0},{""name"":""No Sauteed Onion"",""price_adjustment"":0},{""name"":""Extra Cheese"",""price_adjustment"":3.0}]}]"
Sides,Pulled Pork Fries,"Pulled Pork, Crispy Onion, Horseradish Aioli, Bbq Sauce, Cheese Sauce",17.8,ppfriess.jpg,
Combo,Fries & Pop,,7,,"[{""name"":""Drinks"",""is_required"":true,""min_selections"":1,""max_selections"":1,""options"":[{""name"":""Coke"",""price_adjustment"":0},{""name"":""Diet Coke"",""price_adjustment"":0},{""name"":""Coke Zero"",""price_adjustment"":0},{""name"":""Pepsi"",""price_adjustment"":0},{""name"":""Diet Pepsi"",""price_adjustment"":0},{""name"":""Rootbeer"",""price_adjustment"":0},{""name"":""Sprite"",""price_adjustment"":0},{""name"":""Dr Pepper"",""price_adjustment"":0},{""name"":""Gingerale"",""price_adjustment"":0},{""name"":""Iced Tea"",""price_adjustment"":0},{""name"":""Water"",""price_adjustment"":0}]},{""name"":""Make It A Combo"",""is_required"":false,""min_selections"":0,""max_selections"":1,""options"":[{""name"":""Caesar"",""price_adjustment"":0,""is_default"":true}]},{""name"":""Choose Your Fries"",""is_required"":true,""min_selections"":1,""max_selections"":1,""options"":[{""name"":""Fries"",""price_adjustment"":0,""is_default"":true},{""name"":""Philly Fries"",""price_adjustment"":3.0,""modifiers"":[{""name"":""Philly Fries Toppings"",""is_required"":false,""min_selections"":0,""max_selections"":4,""options"":[{""name"":""Add Grilled Chicken"",""price_adjustment"":6.0},{""name"":""Cheese Sauce"",""price_adjustment"":0},{""name"":""No Sauteed Onion"",""price_adjustment"":0},{""name"":""Extra Cheese"",""price_adjustment"":3.0}]}]},{""name"":""Greek Fries"",""price_adjustment"":3.0,""modifiers"":[{""name"":""Greek Fries Toppings"",""is_required"":false,""min_selections"":0,""max_selections"":11,""options"":[{""name"":""No Tomato"",""price_adjustment"":0},{""name"":""No Onion"",""price_adjustment"":0},{""name"":""No Cucumber"",""price_adjustment"":0},{""name"":""No Tzatziki"",""price_adjustment"":0},{""name"":""No Feta"",""price_adjustment"":0},{""name"":""No Burnt Lemon"",""price_adjustment"":0},{""name"":""Extra Feta"",""price_adjustment"":3.0},{""name"":""Extra Tzatziki"",""price_adjustment"":2.0},{""name"":""Add Grilled Chicken"",""price_adjustment"":6.0},{""name"":""Add Crispy Chicken"",""price_adjustment"":6.0},{""name"":""Add Gyro Meat"",""price_adjustment"":6.0}]}]}]}]"
Combo,Special Fries & Pop,,10,,"[{""name"":""Drinks"",""is_required"":true,""min_selections"":1,""max_selections"":1,""options"":[{""name"":""Coke"",""price_adjustment"":0},{""name"":""Diet Coke"",""price_adjustment"":0},{""name"":""Coke Zero"",""price_adjustment"":0},{""name"":""Pepsi"",""price_adjustment"":0},{""name"":""Diet Pepsi"",""price_adjustment"":0},{""name"":""Rootbeer"",""price_adjustment"":0},{""name"":""Sprite"",""price_adjustment"":0},{""name"":""Dr Pepper"",""price_adjustment"":0},{""name"":""Gingerale"",""price_adjustment"":0},{""name"":""Iced Tea"",""price_adjustment"":0},{""name"":""Water"",""price_adjustment"":0}]},{""name"":""Choose Your Fries"",""is_required"":true,""min_selections"":1,""max_selections"":1,""options"":[{""name"":""Greek Fries"",""price_adjustment"":0,""modifiers"":[{""name"":""Greek Fries Toppings"",""is_required"":false,""min_selections"":0,""max_selections"":11,""options"":[{""name"":""No Tomato"",""price_adjustment"":0},{""name"":""No Onion"",""price_adjustment"":0},{""name"":""No Cucumber"",""price_adjustment"":0},{""name"":""No Tzatziki"",""price_adjustment"":0},{""name"":""No Feta"",""price_adjustment"":0},{""name"":""No Burnt Lemon"",""price_adjustment"":0},{""name"":""Extra Feta"",""price_adjustment"":3.0},{""name"":""Extra Tzatziki"",""price_adjustment"":2.0},{""name"":""Add Grilled Chicken"",""price_adjustment"":6.0},{""name"":""Add Crispy Chicken"",""price_adjustment"":6.0},{""name"":""Add Gyro Meat"",""price_adjustment"":6.0}]}]},{""name"":""Philly Fries"",""price_adjustment"":0,""modifiers"":[{""name"":""Philly Fries Toppings"",""is_required"":false,""min_selections"":0,""max_selections"":4,""options"":[{""name"":""Add Grilled Chicken"",""price_adjustment"":6.0},{""name"":""Cheese Sauce"",""price_adjustment"":0},{""name"":""No Sauteed Onion"",""price_adjustment"":0},{""name"":""Extra Cheese"",""price_adjustment"":3.0}]}]}]}]"
Drinks,Water,,2.4,water.jpg,
Drinks,Coke,,2.4,coke.jpg,
Drinks,Diet Coke,,2.4,dietcoke.jpg,
Drinks,Coke Zero,,2.4,cokezero.jpg,
Drinks,Pepsi,,2.4,pepsi.jpg,
Drinks,Diet Pepsi,,2.4,dietpepsi.jpg,
Drinks,Root Beer,,2.4,rootbeer.jpg,
Drinks,Dr Pepper,,2.4,drp.jpg,
Drinks,Sprite,,2.4,sprite.jpg,
Drinks,Gingerale,,2.4,gingerale.jpg,
Drinks,Iced Tea,,2.4,brisk.jpg,
Drinks,Brio,,2.4,brio.jpg,
Extras,Side Paninos Fancy Sauce,,2.4,,
Extras,Side Grilled Chicken,,6,,
Extras,Side Crispy Chicken,,7.2,,
Extras,Extra Cheese,,3.6,,
Extras,Side Hot Sauce,,2.4,,
Extras,Side Garlic Aioli,,2.4,,
Extras,Side Tzatziki,,2.4,,
